C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_01_734.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_01_734.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_01_734.jpg,0,0,0,9.556426E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_01_800.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_01_800.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_01_800.jpg,0,0,0,9.198823E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_01_872.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_01_872.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_01_872.jpg,0,0,0,3.195378E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_01_944.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_01_944.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_01_944.jpg,0,0,0,1.646357E-05
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_011.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_011.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_011.jpg,0,0,0,1.254118E-05
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_079.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_079.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_079.jpg,0,0,0,1.971424E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_146.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_146.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_146.jpg,0,0,0,1.131793E-05
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_215.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_215.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_215.jpg,0,0,0,1.211852E-05
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_285.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_285.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_285.jpg,0,0,0,1.669984E-05
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_355.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_355.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_355.jpg,0,0,0,8.384972E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_422.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_422.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_422.jpg,0,0,0,9.848271E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_493.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_493.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_493.jpg,0,0,0,1.607848E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_561.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_561.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_561.jpg,0,0,0,7.58774E-06
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_629.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_629.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_629.jpg,0,0,0,1.111274E-05
C:\Users\Casa\Documents\autonomous_driving\IMG\center_2020_11_23_20_36_02_697.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\left_2020_11_23_20_36_02_697.jpg,C:\Users\Casa\Documents\autonomous_driving\IMG\right_2020_11_23_20_36_02_697.jpg,0,0,0,1.46679E-05
